Class ID,Class Name,Objects
1,Aluminum can,4442
24,Plastic bottle,3057
23,Plastic bag,2131
17,Organic,1647
3,Cardboard,1570
12,Glass bottle,1356
33,Printing industry,868
38,Tin,852
28,Plastic cup,844
7,Container for household chemicals,833
18,Paper bag,449
41,Zip plastic bag,135
37,Textile,67
29,Plastic shaker,65
21,Paper,65
14,Liquid,64
25,Plastic can,49
26,Plastic canister,48
0,Aerosols,46
36,Tetra pack,43
16,Milk bottle,41
39,Unknown plastic,35
19,Paper cups,30
32,Postal packaging,29
22,Papier mache,22
30,Plastic shavings,20
8,Disposable tableware,16
20,Paper shavings,15
9,Electronics,13
34,Scrap metal,12
31,Plastic toys,12
35,Stretch film,9
27,Plastic caps,9
5,Ceramic,6
10,Foil,4
6,Combined plastic,4
4,Cellulose,3
11,Furniture,3
40,Wood,2
13,Iron utensils,2
15,Metal shavings,1
2,Aluminum caps,1
